129,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,193:30, == ,/
130,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,193:30, == ,%
131,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,193:30, == ,**
132,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,194:14,totalTrancheShares = IERC20(_immutables.liquidityTranche).totalSupply(),assert(true)
133,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,194:35,IERC20(_immutables.liquidityTranche).totalSupply(),0
134,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,194:35,IERC20(_immutables.liquidityTranche).totalSupply(),(-1)
135,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,194:35,IERC20(_immutables.liquidityTranche).totalSupply(),1
136,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,194:35,IERC20(_immutables.liquidityTranche).totalSupply(),true
137,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,194:35,IERC20(_immutables.liquidityTranche).totalSupply(),false
138,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,193:54,totalTrancheShares = IERC20(_immutables.juniorTranche).totalSupply(),assert(true)
139,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,193:75,IERC20(_immutables.juniorTranche).totalSupply(),0
140,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,193:75,IERC20(_immutables.juniorTranche).totalSupply(),(-1)
141,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,193:75,IERC20(_immutables.juniorTranche).totalSupply(),1
142,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,193:75,IERC20(_immutables.juniorTranche).totalSupply(),true
143,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,193:75,IERC20(_immutables.juniorTranche).totalSupply(),false
144,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,192:49,totalTrancheShares = IERC20(_immutables.seniorTranche).totalSupply(),assert(true)
145,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,192:70,IERC20(_immutables.seniorTranche).totalSupply(),0
146,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,192:70,IERC20(_immutables.seniorTranche).totalSupply(),(-1)
147,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,192:70,IERC20(_immutables.seniorTranche).totalSupply(),1
148,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,192:70,IERC20(_immutables.seniorTranche).totalSupply(),true
149,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,192:70,IERC20(_immutables.seniorTranche).totalSupply(),false
150,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,197:9,"claims = TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",assert(true)
151,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,197:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",0
152,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,197:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",(-1)
153,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,197:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",1
154,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,197:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",true
155,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,197:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",false
156,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,221:9,"state = IRoycoDayAccountant(_immutables.accountant)
            .postOpSyncTrancheAccounting(
                _op,
                ValuationLogic._getSeniorTrancheRawNAV($),
                ValuationLogic._getJuniorTrancheRawNAV($),
                ValuationLogic._getLiquidityTrancheRawNAV($),
                _stSelfLiquidationBonusNAV,
                _enforceCoverageAndLiquidityRequirements
            )",assert(true)
